UWI,MD,Inc,Az,eoff,noff,tvd,ss,,KB = ,824
100/01-07-013-18W4/00,3121.81,88.44,43.76,1785.1,1332.41,1043.78,-219.78,,,
100/01-07-013-18W4/00,3140.6,87.52,42.88,1797.98,1346.09,1044.44,-220.44,,,
100/01-07-013-18W4/00,3159.17,87.6,42.97,1810.57,1359.65,1045.23,-221.23,,,
100/01-07-013-18W4/00,3177.93,89.23,43.05,1823.38,1373.34,1045.75,-221.75,,,
100/01-07-013-18W4/00,3196.69,89.71,44.11,1836.33,1386.9,1045.92,-221.92,,,
100/01-07-013-18W4/00,3215.76,89.93,44.55,1849.64,1400.58,1045.98,-221.98,,,
100/01-07-013-18W4/00,3234.66,89.89,44.9,1862.95,1413.93,1046.01,-222.01,,,
100/01-07-013-18W4/00,3253.55,91.43,45.87,1876.4,1427.28,1045.8,-221.8,,,
100/01-07-013-18W4/00,3272.49,91.3,46.13,1890,1440.4,1045.35,-221.35,,,
100/01-07-013-18W4/00,3291.74,90.73,45.78,1903.81,1453.75,1045,-221,,,
100/01-07-013-18W4/00,3310.67,90.68,44.72,1917.26,1467.1,1044.77,-220.77,,,
100/01-07-013-18W4/00,3329.6,88.35,43.05,1930.35,1480.67,1044.93,-220.93,,,
100/01-07-013-18W4/00,3347.91,87.56,42.35,1942.73,1494.12,1045.59,-221.59,,,
100/01-07-013-18W4/00,3366.54,87.34,42.09,1955.25,1507.92,1046.41,-222.41,,,
100/01-07-013-18W4/00,3385.68,87.43,41.74,1968.06,1522.15,1047.29,-223.29,,,
100/01-07-013-18W4/00,3404.64,88.18,41.21,1980.58,1536.39,1048.01,-224.01,,,
100/01-07-013-18W4/00,3423.21,90.37,41.21,1992.81,1550.29,1048.25,-224.25,,,
100/01-07-013-18W4/00,3441.82,92.09,41.82,2005.12,1564.19,1047.85,-223.85,,,
100/01-07-013-18W4/00,3461.1,92.88,42.97,2018.14,1578.43,1047.01,-223.01,,,
100/01-07-013-18W4/00,3480.28,91.25,43.23,2031.23,1592.45,1046.32,-222.32,,,
100/01-07-013-18W4/00,3499.33,92.22,43.14,2044.25,1606.35,1045.75,-221.75,,,
100/01-07-013-18W4/00,3518.47,90.42,43.32,2057.35,1620.25,1045.3,-221.3,,,
100/01-07-013-18W4/00,3537.69,89.98,44.02,2070.58,1634.16,1045.24,-221.24,,,
100/01-07-013-18W4/00,3556.87,89.05,44.55,2083.96,1647.84,1045.4,-221.4,,,
100/01-07-013-18W4/00,3576.04,90.51,45.69,2097.56,1661.41,1045.47,-221.47,,,
100/01-07-013-18W4/00,3595.27,89.32,45.69,2111.29,1674.87,1045.5,-221.5,,,
100/01-07-013-18W4/00,3614.59,86.77,43.93,2124.89,1688.55,1046.16,-222.16,,,
100/01-07-013-18W4/00,3633.81,86.07,42.09,2137.98,1702.56,1047.36,-223.36,,,
100/01-07-013-18W4/00,3653.02,89.01,41.03,2150.71,1716.91,1048.19,-224.19,,,
100/01-07-013-18W4/00,3672.19,90.46,43.41,2163.59,1731.04,1048.27,-224.27,,,
100/01-07-013-18W4/00,3691.48,91.16,44.02,2176.9,1745.05,1048,-224,,,
100/01-07-013-18W4/00,3710.67,91.69,42.79,2190.06,1758.95,1047.52,-223.52,,,
100/01-07-013-18W4/00,3729.87,90.29,43.14,2203.15,1772.97,1047.19,-223.19,,,
100/01-07-013-18W4/00,3748.93,89.93,42.53,2216.1,1786.98,1047.16,-223.16,,,
100/01-07-013-18W4/00,3767.95,89.67,42.44,2228.98,1801,1047.22,-223.22,,,
100/01-07-013-18W4/00,3787.05,89.36,42.26,2241.86,1815.12,1047.38,-223.38,,,
100/01-07-013-18W4/00,3806.11,88.75,41.56,2254.59,1829.25,1047.7,-223.7,,,
100/01-07-013-18W4/00,3828,88.75,41.56,2269.04,1845.6,1048.18,-224.18,,,
